id,mascot,tac,barracks
A1,Avengers,CPT Lafitte,Lee
B1,Barbarians,CPT Capozza,Lee
C1,Celts,CPT Dalton,Grant
D1,Ducks,CPT Jensen,Grant
E1,Vikings,CPT Morrison,Grant
F1,Firehouse,CPT Jones,Grant
G1,Greeks,CPT O'Donnell,Sherman
H1,Root Hawgs,CPT Gorss,Sherman
I1,Ironhorse,LTC Cooper,Sherman
A2,Spartans,CPT Wlasniewski,Bradley
B2,Bulldogs,CPT Fearing,Bradley
C2,Circus,CPT Graves,Bradley
D2,Dragons,CPT Nadel,Bradley
E2,Dawgs,CPT Wilson,Bradley
F2,Zoo,CPT Beach,Bradley
G2,Gators,CPT Ammons,Bradley
H2,Happy as Hell,CPT Steadman,Bradley
I2,Moose,CPT Wilson,Bradley
A3,Anacondas,CPT Woods,Ike
B3,Bandits,CPT Howlett,Ike
C3,Chaos,CPT Lind,Ike
D3,Dragoons,CPT McLean,Ike
E3,Eagles,CPT Eisenlohr,Ike
F3,F-Troop,CPT Lynes,Pershing
G3,Gophers,CPT Guandique,Ike
H3,Hurricanes,CPT Boise,Pershing
I3,Ice Men,CPT Mosley,Pershing
A4,Apaches,CPT King,Mac Short
B4,Buffaloes,CPT Rinaldi,Mac Short
C4,Cowboys,CPT Richard,Mac Short
D4,Dukes,CPT Comashorta,Mac Short
E4,Elvis,CPT Shed,Scott
F4,Frogs,MAJ Belohlavik,Scott
G4,Guppies,CPT Weart,Scott
H4,Hogs,CPT Orr,Scott
I4,I-Beam,CPT Lora,Scott
